公司名稱,職缺內容,所需技能,職缺網址,擅長工具
Synology_群暉科技股份有限公司,Product Developer (雲端服務軟體開發),"Synology's product developers create cutting edge products used by millions of users around the world. Our portfolio of data storage, networking, and surveillance products are powered by our own software solutions, giving us a unique edge in today's crowded market. We are looking for engineers that can make an impact, bringing in fresh ideas from different areas to help expand our team of high-energy developers.

Today’s IT solutions are rarely just standalone products, but leverage the power of cloud computing infrastructure to provide additional benefits and features to users. Synology’s products are no different. In addition to providing a solid storage foundation for our customers, our cloud service enables important functionality, such as remote access, secure cloud backups, and more. As a developer, you’ll be working on distributed, large-scale systems that need to continue providing critical services to our customers, no matter what.

You will:
- Develop on existing and future cloud-based services
- Diagnose and optimize system performance
- Once a month on-call duty",www.104.com.tw/job/65voj?jobsource=2018indexpoc,['Python']
奕兆有限公司,QA Automation Engineer/自動化測試軟體工程師," APP - Android APP: Python+Appium.
2. For Web, Backend and Mobile APP - API: Postman.
3. For project web pages and Backoffice",www.104.com.tw/job/6wug6?jobsource=2018indexpoc,['Python']
禾多移動多媒體股份有限公司,資料探勘工程師,"
工作技能：
(1) 統計理論與資料探勘技術;
(2) 程式能力(python為主) 

其他條件： 
(1) 熟悉線性代數;
(2) 應用資料科學於實務問題之熱忱

薪資待遇(依學經歷敘薪): 
學歷-研究所:  月薪4萬元起",www.104.com.tw/job/4u9yz?jobsource=2018indexpoc,['Python']
QNAP_威聯通科技股份有限公司,65210-網路軟體工程師(汐止)," development
條件：
1.	Good programming ability in C or Python is a must
2.	Familiar with network is a must
3.	Familiar with Linux is",www.104.com.tw/job/6an35?jobsource=2018indexpoc,"['Linux', 'C', 'C++', 'Python']"
瑞星管理顧問股份有限公司,趨勢科技_主力商品Deep Security Devops engineer (學生/兼職可),"本原因
3.維護與管理系統操作日誌
4.技術Wiki，服務列表，團隊共享的文檔
5.安裝/升級PIT環境並創建自動化環境
6.協助專案維運與系統操作，不一定要Coding，但需要看得懂Python
7.周末需協助On call處理國際客戶",www.104.com.tw/job/6yks5?jobsource=2018indexpoc,['Python']
TutorABC_麥奇數位股份有限公司,AI算法工程師(Algorithm engineering),"、演算法調優、參數調整等
3.應用領域主要包含用戶畫像、行銷轉化、風險控制、推薦模型、客戶滿意度與黏著度等
4.跟蹤模型上線過程與實際應用結果

[Job Requirements]
1.自主編寫程式與調試，能使用Python/C++/Java(任",www.104.com.tw/job/6q78i?jobsource=2018indexpoc,['Python']
雙子星雲端運算股份有限公司,Customer Advocate Engineer,"安裝設定之經驗。
5. 程式開發之經驗。

技術需求 ：
1. 熟悉Python 程式語言者佳。
2. 熟悉 Restful API 者佳 。
3. 熟悉 K8S、Openstack 者佳 。",www.104.com.tw/job/6df7t?jobsource=2018indexpoc,['Python']
香港商司亞樂科技亞太有限公司台灣分公司,【2020研發替代役】Software Engineer 軟體/韌體工程師,"1).研發4G/5G無線通訊產品的軟體/韌體程式，包括：Feature Design/ Development/ Debugging/ Testing
2).熟悉程式設計語言：C、C++、Python
3).對軟體/韌體研發，有高度興趣
",www.104.com.tw/job/6rrnu?jobsource=2018indexpoc,"['C', 'C++', 'Python']"
希納蒙人工智慧股份有限公司,AI Researcher,"/or project management is a plus. 
● Excellent programming skills with Python, C/C++. CUDA or OpenCL is a plus. 
● Problem",www.104.com.tw/job/6n7i8?jobsource=2018indexpoc,['Python']
驊宏資通集團_駿永資訊科技股份有限公司,系統工程師-網路組(軟體設計),"Python程式語言。
4.具備Django或Flask等Web框架建構能力。
5.具備XML、JSON、JAML等資料格式儲存及轉換能力。
6.具備Postman、Swagger等REST API調用工具能力。
7.具備Git、SVN等程式版本控",www.104.com.tw/job/6yaap?jobsource=2018indexpoc,['Python']
德義資訊股份有限公司,自動化工程師,"需有
軟體 網頁 相關測試經驗
熟悉程式語言： python
熟悉測試工具：Jmeter",www.104.com.tw/job/3oj5g?jobsource=2018indexpoc,['Python']
邑流微測股份有限公司,AI 人工智慧軟體工程師,"Python
3. 如有影像處理、深度學習影像應用(語義分割、物件辨識)兩年以上相關工作經驗加分
4. 英文佳(有國際合作/商洽機會)，且具備與海外供應商電話會議及書信往來能力
5. 上班時間彈性，未來可獲得員工認股、外派與擔任高階研發主管機",www.104.com.tw/job/6rzxe?jobsource=2018indexpoc,['Python']
物聯智慧股份有限公司,Software engineer(Cloud Service)軟體工程師," nodejs, python, shell script, etc. 
3. Good concept on http, TCP/IP network protocols. 
4. Good at socket programming.",www.104.com.tw/job/6nq9m?jobsource=2018indexpoc,"['Linux', 'C', 'C++', 'Python', 'Node.js']"
瑞精工科技股份有限公司,研發中心-AI製程大數據應用工程師,"1. 收集製造過程中所產生的大數據並加以清洗與整理.
2. 建立統計分析模型並透過機器深度學習進行預測及整合MES、CIM、戰情中心等發展智慧工廠AI應用.
3. 具備簡報能力.
4. 同時具備C#及Python開發能力.",www.104.com.tw/job/6sfp8?jobsource=2018indexpoc,"['C#', 'Python', 'PowerPoint']"
英屬蓋曼群島商防特網股份有限公司台灣分公司,"Senior Software Development Engineer (C/C++, Linux) - Taipei (Req: APRD2103)"," Node.js, Python, etc.)
2.	Develop new PQC test framework (using RobotFramework and Python)
3.	Based on DUT (Device Under",www.104.com.tw/job/3omui?jobsource=2018indexpoc,"['Linux', 'C', 'Python', 'TCP/IP']"
印度商威普羅股份有限公司台灣分公司,Android Mobile Power Test Engineer- Power 安卓手動測試工程師-Power (工作地點: 桃園),"background will be a plus. 
6. Programming experience in Python, Java/C. Experience in usage of Power tools like Monsoon and",www.104.com.tw/job/6fauj?jobsource=2018indexpoc,['Python']
希納蒙人工智慧股份有限公司,Sr. Backend Software Engineer,"一流的 AI 公司，需要一流的 Backend Engineer，協助 AI 產品化、讓 AI 的研發最佳化！ 
想要嘗試 AI 浪潮下的新挑戰嗎？和我們一起打造下一代的 AI Cloud、AIaaS 平台和團隊吧！

--

我們在尋找充滿熱情的後端工程師，主要任務為建置 AI Service，提供給我們的超重量級客戶們（日本金融業龍頭公司、銀行）。你將需要將 AI modules 建構成完整的 Data pipeline 及 Service，並且隨著不同產品及不同客戶的需求，提供不同的 Solution。除此之外，你也需要建構公司的內部 AI 發展所需的各種平台，協助公司的 AI 實力更上一層樓。

你可能有機會參與：
★ 依照不同的客戶需求即使用情境，將 AI Researcher 所研發的 AI Models ，組成有效率的 Pipeline，建置成可維護的應用系統。
★ 建立有彈性的 AI 研發架構及平台，加速研發流程。 
★ 建立有彈性、易維護、可共用的 Deployment 架構，提升部署的速度和品質。
★ 參與、討論、主導系統架構設計。
★ Design review, code review, 撰寫技術文件。

你將扮演研發骨幹的角色，讓我們先進的 AI model，帶來實際的 user value，幫助公司快速前進。在產品開發的過程當中，發揮舉足輕重的影響力！

想讓自己快速成長、在 AI 相關領域及軟體工程領域當中，成為國際級的好手嗎？如果你樂於接受挑戰，迫不及待想與我們一起建立世界級的 AI 平台及產品，參與 Deep Learning for Computer Vision、NLP、以及 Speech Recognition 的先進領域，這是你最棒的機會！
",www.104.com.tw/job/6mlr3?jobsource=2018indexpoc,['Python']
英屬開曼群島商史泰博股份有限公司台灣分公司,程式設計師[SP],"1.公司內部ERP系統維護與功能開發
2.公司電子商務網站維護與功能開發
3.協力廠商系統資料串接(XML/JSON)
4.Python爬蟲程式開發",www.104.com.tw/job/6uu9k?jobsource=2018indexpoc,"['ASP.NET', 'C#', 'PHP', 'Python', 'Access', 'MS SQL', 'MySQL', 'VBScript']"
科迪股份有限公司,Software Engineer (Annual salary: NT$1M+),"
• 良好的職場英文口語表達與寫作能力

★ 必備條件:
• 二年以上軟體實務開發經驗者，或有碩士資訊科學相關學位
• 有程式審查、測試、文件撰寫經驗並曾歷經軟體開發流程，如Scrum和Kanban
• 熟悉任一語言(Python、",www.104.com.tw/job/5hirt?jobsource=2018indexpoc,['Python']
